Date,HSI,NYA,IXIC,000001.SS,N225,N100,399001.SZ,GSPTSE,NSEI,GDAXI,SSMI,TWII,J203.JO
2013-05-03 00:00:00,2949.6949222000003,9340.459961,3378.629883,352.8795312,136.94040040000002,900.055,1415.6271875199998,10323.54,59.44,9909.19384758,8810.74694793,325.4011914,2771.4596875
2013-05-04 00:00:00,2949.6949222000003,9340.459961,3378.629883,352.8795312,136.94040040000002,900.055,1415.6271875199998,10323.54,59.44,9909.19384758,8810.74694793,325.4011914,2771.4596875
2013-05-05 00:00:00,2949.6949222000003,9340.459961,3378.629883,352.8795312,136.94040040000002,900.055,1415.6271875199998,10323.54,59.44,9909.19384758,8810.74694793,325.4011914,2771.4596875
2013-05-06 00:00:00,2978.9616792,9348.900391,3392.969971,356.98656256000004,136.94040040000002,899.8963939,1439.53281248,10336.7373237,59.71049805,9896.73769516,8799.34722684,326.7619922,2771.4596875
2013-05-07 00:00:00,2996.1216792,9409.009766,3396.629883,357.69199216000004,141.8024023,900.40877316,1443.6640625599998,10345.2026763,60.43549805,9981.7713377,8855.069443290002,326.52240236,2787.5036329000004
2013-05-08 00:00:00,3021.7654493000005,9463.320313,3413.27002,359.40800784,142.8569043,906.9236061,1451.97437504,10445.55,60.69299805,10064.64615242,8983.2522222,330.68359376,2831.9634763000004
2013-05-09 00:00:00,3017.4924611,9409.219727,3409.169922,357.27535152,141.91480470000002,903.8613939,1448.01281248,10411.4373237,60.50149902,10080.3107621,8983.2522222,331.43558592,2823.6466013000004
2013-05-10 00:00:00,3031.7586910000005,9442.759766,3436.580078,359.4929688,146.0754004,909.16836462,1451.38562496,10448.9526763,60.9475,10099.87960968,9077.41360878,331.21039064,2816.2435546
2013-05-11 00:00:00,3031.7586910000005,9442.759766,3436.580078,359.4929688,146.0754004,909.16836462,1451.38562496,10448.9526763,60.9475,10099.87960968,9077.41360878,331.21039064,2816.2435546
2013-05-12 00:00:00,3031.7586910000005,9442.759766,3436.580078,359.4929688,146.0754004,909.16836462,1451.38562496,10448.9526763,60.9475,10099.87960968,9077.41360878,331.21039064,2816.2435546
2013-05-13 00:00:00,2988.6753715,9437.169922,3438.790039,358.70718752,147.8220996,908.18016706,1442.28484368,10399.485,59.80450195,10100.73384758,9043.92499536,329.93281252,2828.5088671000003
2013-05-14 00:00:00,2980.936309,9515.860352,3462.610107,354.7216016,147.5841992,913.4505756,1409.45281248,10438.91,59.953999020000005,10173.71462944,9088.4025,330.07281252,2849.7924217000004
2013-05-15 00:00:00,2995.7512299,9551.410156,3471.620117,355.96753904,150.9603027,917.51319756,1419.17593744,10353.171165999998,61.4675,10202.15230484,9227.51888658,332.74359376,2871.0486329000005
2013-05-16 00:00:00,3000.7483597,9489.30957,3465.23999,360.28878912,150.3724023,916.30540854,1449.8128124800005,10381.3076763,61.69899902,10211.24154274,9164.32693401,335.60199220000004,2899.9433204000006
2013-05-17 00:00:00,3000.7483597,9576.410156,3498.969971,365.25921872,151.3812012,919.69697072,1479.40484368,10468.79,61.87299805,10245.56,9191.0775,334.72761720000005,2898.9408987
2013-05-18 00:00:00,3000.7483597,9576.410156,3498.969971,365.25921872,151.3812012,919.69697072,1479.40484368,10468.79,61.87299805,10245.56,9191.0775,334.72761720000005,2898.9408987
2013-05-19 00:00:00,3000.7483597,9576.410156,3498.969971,365.25921872,151.3812012,919.69697072,1479.40484368,10468.79,61.87299805,10245.56,9191.0775,334.72761720000005,2898.9408987
2013-05-20 00:00:00,3054.093809,9587.519531,3496.429932,367.99777344,153.6080957,923.6986061,1489.1440625599998,10468.79,61.56899902,10316.11269516,9191.0775,335.0819922,2875.5685546
2013-05-21 00:00:00,3037.6279882,9598.269531,3502.120117,368.81824224,153.8101953,925.60180244,1504.56640624,10576.1923237,61.14100098,10336.0842379,9233.44611342,335.3219922,2927.0751566000004
2013-05-22 00:00:00,3023.9404104,9508.040039,3463.300049,368.38449216,156.2725977,928.115,1504.8095312,10584.575,60.945,10407.68537056,9332.44749072,335.95359376,2928.5213671
2013-05-23 00:00:00,2947.0583597000004,9466.290039,3459.419922,364.10671872,144.8398047,911.0227878,1482.50875008,10506.222676299998,59.67049805,10189.41617218,9067.0572222,329.51320312,2859.9123441000006
2013-05-24 00:00:00,2940.4270896000003,9442.230469,3459.139893,366.16511712,146.124502,909.2172122,1488.77765632,10513.776166,59.83549805,10132.49078186,9067.34556135,328.39121092,2869.9004691000005
2013-05-25 00:00:00,2940.4270896000003,9442.230469,3459.139893,366.16511712,146.124502,909.2172122,1488.77765632,10513.776166,59.83549805,10132.49078186,9067.34556135,328.39121092,2869.9004691000005
2013-05-26 00:00:00,2940.4270896000003,9442.230469,3459.139893,366.16511712,146.124502,909.2172122,1488.77765632,10513.776166,59.83549805,10132.49078186,9067.34556135,328.39121092,2869.9004691000005
2013-05-27 00:00:00,2949.1866014,9442.230469,3459.139893,366.89230464,141.4265039,915.9027878,1481.70078128,10538.0123237,60.83149902,10227.6257621,9060.98528355,331.20398436000005,2869.9004691000005
2013-05-28 00:00:00,2980.1525,9494.160156,3488.889893,371.4108984,143.1198047,927.41959146,1510.6704688000002,10582.915,61.1125,10346.66154274,9125.55389697,330.52199220000006,2937.9820316000005
2013-05-29 00:00:00,2932.1408597000004,9422.490234,3467.52002,371.8427344,143.2645996,910.82762074,1504.70406256,10568.0576763,61.04299805,10170.62769516,8911.79055207,333.51601564,2886.3149217000005
2013-05-30 00:00:00,2922.9603715,9460.049805,3491.300049,370.83984368,135.8903027,914.3777878,1500.6704688000002,10579.595,61.24049805,10248.2442379,8903.942504640001,329.73160156,2935.9315237
2013-05-31 00:00:00,2910.9808208,9302.269531,3455.909912,368.09519536,137.7454004,903.82483294,1481.2720312,10499.8323237,59.85950195,10185.58460968,8821.180840260002,330.1919922,2941.1514454000003
2013-06-01 00:00:00,2910.9808208,9302.269531,3455.909912,368.09519536,137.7454004,903.82483294,1481.2720312,10499.8323237,59.85950195,10185.58460968,8821.180840260002,330.1919922,2941.1514454000003
2013-06-02 00:00:00,2910.9808208,9302.269531,3455.909912,368.09519536,137.7454004,903.82483294,1481.2720312,10499.8323237,59.85950195,10185.58460968,8821.180840260002,330.1919922,2941.1514454000003
2013-06-03 00:00:00,2896.6846285,9357.080078,3465.370117,367.88031248,132.6182031,896.78540854,1480.19843744,10466.1338423,59.39299805,10108.6757621,8636.8877778,328.04078124,2867.0326566000003
2013-06-04 00:00:00,2897.1175389000005,9320.080078,3445.26001,363.58671872,135.3375977,897.9077878,1459.88312496,10453.02,59.19450195,10121.07115242,8742.004995360001,327.6488086,2862.8375783
2013-06-05 00:00:00,2869.0012299,9178.410156,3401.47998,363.34878912,130.1487012,882.0233646199999,1462.9504688000002,10328.271166,59.23850098,9999.33921936,8600.102226840001,327.27640624000003,2855.5666013000005
2013-06-06 00:00:00,2838.9958597,9260.480469,3424.050049,358.73761712,129.0401953,875.2645914599999,1440.17437504,10299.7188423,59.21399902,9880.54827198,8461.24165974,323.84560548,2823.8866796
2013-06-07 00:00:00,2804.7837701000003,9355.410156,3469.219971,353.74367184000005,128.7753027,887.0131975599999,1402.17765632,10269.8388423,58.81,10070.70921936,8641.17222684,323.80800780000004,2856.9329691000003
2013-06-08 00:00:00,2804.7837701000003,9355.410156,3469.219971,353.74367184000005,128.7753027,887.0131975599999,1402.17765632,10269.8388423,58.81,10070.70921936,8641.17222684,323.80800780000004,2856.9329691000003
2013-06-09 00:00:00,2804.7837701000003,9355.410156,3469.219971,353.74367184000005,128.7753027,887.0131975599999,1402.17765632,10269.8388423,58.81,10070.70921936,8641.17222684,323.80800780000004,2856.9329691000003
2013-06-10 00:00:00,2809.9616792,9358.0,3473.77002,353.74367184000005,135.142002,885.5736061,1402.17765632,10277.641166,58.78,10135.3823246,8647.51028355,326.4219922,2865.3715237
